dataset,model_name,n_seeds,train_acc_mean,train_acc_std,test_acc_mean,test_acc_std,time_mean_seconds,epochs_mean,train_accs,test_accs,timestamp
mnist,Baseline (ReLU),20,0.9896044642857144,0.00043960046070384,0.963892857142857,0.0006430555249457589,15.104616773128509,30.0,"[0.9890892857142857, 0.9906071428571429, 0.9895714285714285, 0.9889821428571428, 0.9899285714285714, 0.9896785714285714, 0.9893035714285714, 0.9897142857142858, 0.9889642857142857, 0.9897678571428571, 0.9897142857142858, 0.9891428571428571, 0.9894642857142857, 0.9892678571428571, 0.9900892857142857, 0.9897857142857143, 0.9894107142857143, 0.99025, 0.9901607142857143, 0.9891964285714285]","[0.9629285714285715, 0.9635, 0.9641428571428572, 0.9651428571428572, 0.9642142857142857, 0.964, 0.9640714285714286, 0.9646428571428571, 0.9638571428571429, 0.9630714285714286, 0.9647142857142857, 0.9637857142857142, 0.9635714285714285, 0.9648571428571429, 0.9630714285714286, 0.9632857142857143, 0.9631428571428572, 0.9632142857142857, 0.9644285714285714, 0.9642142857142857]",2026-05-06T19:40:18.632126
mnist,Dynamic ReLU Finetuning (Per-Neuron),20,0.9896214285714287,0.0004629307150522397,0.9638821428571429,0.0007035895574169024,6.117153763771057,10.25,"[0.9889285714285714, 0.990625, 0.9896607142857143, 0.9888214285714285, 0.9900714285714286, 0.9897321428571428, 0.9893928571428572, 0.9896607142857143, 0.9890714285714286, 0.9898571428571429, 0.9898571428571429, 0.9891428571428571, 0.9894464285714286, 0.9893928571428572, 0.99, 0.9897678571428571, 0.9892678571428571, 0.9901964285714285, 0.9902678571428571, 0.9892678571428571]","[0.9634285714285714, 0.9635, 0.9641428571428572, 0.965, 0.9641428571428572, 0.9639285714285715, 0.9642142857142857, 0.9648571428571429, 0.9639285714285715, 0.9627857142857142, 0.965, 0.9639285714285715, 0.9635, 0.9646428571428571, 0.9627142857142857, 0.9632857142857143, 0.9626428571428571, 0.9633571428571429, 0.9642857142857143, 0.9643571428571428]",2026-05-06T19:40:18.632202
fashion_mnist,Baseline (ReLU),20,0.932425892857143,0.0012361899760505173,0.8845035714285714,0.0020353351777322275,15.193847358226776,30.0,"[0.9314821428571428, 0.9343392857142857, 0.9334642857142857, 0.9337142857142857, 0.9326607142857143, 0.9320357142857143, 0.9319821428571429, 0.9329821428571429, 0.93275, 0.930375, 0.9341785714285714, 0.9315714285714286, 0.9299642857142857, 0.931375, 0.9311785714285714, 0.9335357142857142, 0.9319821428571429, 0.9333035714285715, 0.9340892857142857, 0.9315535714285714]","[0.8875714285714286, 0.8848571428571429, 0.8868571428571429, 0.8858571428571429, 0.8839285714285714, 0.8821428571428571, 0.8833571428571428, 0.8837142857142857, 0.8873571428571428, 0.8863571428571428, 0.8814285714285715, 0.8851428571428571, 0.8827857142857143, 0.8849285714285714, 0.8832142857142857, 0.8871428571428571, 0.8845, 0.8854285714285715, 0.8838571428571429, 0.8796428571428572]",2026-05-06T19:40:18.632246
fashion_mnist,Dynamic ReLU Finetuning (Per-Neuron),20,0.9345803571428573,0.0013763270497811082,0.8858035714285716,0.0015635965539976939,7.019966268539429,11.8,"[0.9335714285714286, 0.9357678571428572, 0.9358214285714286, 0.9349107142857143, 0.9360535714285714, 0.9344642857142857, 0.9334642857142857, 0.9358214285714286, 0.9342321428571428, 0.934125, 0.9360535714285714, 0.9332142857142857, 0.9317321428571429, 0.9326428571428571, 0.932875, 0.9344464285714286, 0.9337857142857143, 0.9354642857142857, 0.9369464285714286, 0.9362142857142857]","[0.8881428571428571, 0.8853571428571428, 0.8864285714285715, 0.8862142857142857, 0.886, 0.8855, 0.8853571428571428, 0.8859285714285714, 0.8880714285714286, 0.8872857142857142, 0.8825714285714286, 0.8860714285714286, 0.8844285714285715, 0.8857857142857143, 0.8827857142857143, 0.8882142857142857, 0.8857142857142857, 0.8869285714285714, 0.886, 0.8832857142857143]",2026-05-06T19:40:18.632285
cifar10,Baseline (ReLU),20,0.7566531249999999,0.010262311108949825,0.5155000000000001,0.0038149923547323933,31.81315360069275,21.6,"[0.75025, 0.7530208333333334, 0.7642708333333333, 0.7452291666666667, 0.7436666666666667, 0.7647916666666666, 0.7617083333333333, 0.7533333333333333, 0.7598541666666667, 0.7580208333333334, 0.7665625, 0.7736041666666666, 0.7690625, 0.7571666666666667, 0.7532916666666667, 0.7522916666666667, 0.7699166666666667, 0.73575, 0.7378958333333333, 0.763375]","[0.514, 0.5055833333333334, 0.51275, 0.51225, 0.5148333333333334, 0.515, 0.5144166666666666, 0.51525, 0.5130833333333333, 0.5154166666666666, 0.518, 0.5119166666666667, 0.51825, 0.5201666666666667, 0.5179166666666667, 0.5213333333333333, 0.524, 0.5160833333333333, 0.5160833333333333, 0.5136666666666667]",2026-05-06T19:40:18.632322
cifar10,Dynamic ReLU Finetuning (Per-Neuron),20,0.7674354166666667,0.009663228779832805,0.5200916666666666,0.0030276388857032152,12.071073162555695,10.05,"[0.7628958333333333, 0.7625625, 0.7738958333333333, 0.7566041666666666, 0.7520416666666667, 0.7705833333333333, 0.7713541666666667, 0.7672916666666667, 0.7733125, 0.7672916666666667, 0.7759791666666667, 0.7865625, 0.7809791666666667, 0.7684791666666667, 0.7610833333333333, 0.7629791666666667, 0.7781041666666667, 0.752, 0.7505208333333333, 0.7741875]","[0.521, 0.51375, 0.5134166666666666, 0.5198333333333334, 0.5206666666666667, 0.5189166666666667, 0.5185833333333333, 0.5199166666666667, 0.5173333333333333, 0.519, 0.5189166666666667, 0.5213333333333333, 0.52225, 0.5244166666666666, 0.5235833333333333, 0.5233333333333333, 0.5243333333333333, 0.52375, 0.5180833333333333, 0.5194166666666666]",2026-05-06T19:40:18.632358
