dataset,model_name,n_seeds,train_acc_mean,train_acc_std,test_acc_mean,test_acc_std,time_mean_seconds,epochs_mean,train_accs,test_accs,timestamp
cifar10,Baseline (Sigmoid),20,0.4293854166666666,0.0013631831238563154,0.41894166666666666,0.0019130581974071445,52.08483707904816,30.0,"[0.42783333333333334, 0.43070833333333336, 0.4308958333333333, 0.4303125, 0.426875, 0.4294791666666667, 0.4285833333333333, 0.427375, 0.42925, 0.4275625, 0.4293125, 0.4283958333333333, 0.4294791666666667, 0.4300833333333333, 0.43083333333333335, 0.4306875, 0.430875, 0.4318958333333333, 0.4280833333333333, 0.4291875]","[0.4170833333333333, 0.418, 0.4206666666666667, 0.4186666666666667, 0.41733333333333333, 0.4176666666666667, 0.4211666666666667, 0.418, 0.41675, 0.418, 0.41891666666666666, 0.41891666666666666, 0.419, 0.42033333333333334, 0.4216666666666667, 0.41933333333333334, 0.4245833333333333, 0.418, 0.4185833333333333, 0.4161666666666667]",2026-05-06T22:13:56.198730
cifar10,Activation Finetuning (Per-Neuron),20,0.43079895833333326,0.0015060248650328528,0.4197458333333334,0.0018908542675497508,45.087073504924774,30.0,"[0.42875, 0.43283333333333335, 0.43335416666666665, 0.43052083333333335, 0.4292916666666667, 0.4304375, 0.42922916666666666, 0.42845833333333333, 0.42964583333333334, 0.4286875, 0.4309375, 0.43014583333333334, 0.43091666666666667, 0.43183333333333335, 0.4328958333333333, 0.43202083333333335, 0.43152083333333335, 0.4332916666666667, 0.4304375, 0.4307708333333333]","[0.41641666666666666, 0.41783333333333333, 0.4211666666666667, 0.4196666666666667, 0.4176666666666667, 0.4185833333333333, 0.42133333333333334, 0.4181666666666667, 0.4191666666666667, 0.4205833333333333, 0.4206666666666667, 0.4215, 0.4211666666666667, 0.421, 0.4235833333333333, 0.41941666666666666, 0.4220833333333333, 0.4201666666666667, 0.41875, 0.416]",2026-05-06T22:13:56.198788
fashion_mnist,Baseline (Sigmoid),20,0.8411857142857144,0.0012385753418952734,0.8339142857142857,0.0011805394823502279,25.733009791374208,30.0,"[0.8406964285714286, 0.842375, 0.8403928571428572, 0.8405357142857143, 0.8426071428571429, 0.8423928571428572, 0.8398214285714286, 0.8394464285714286, 0.8423035714285714, 0.8404464285714286, 0.8435178571428571, 0.8394464285714286, 0.8392678571428571, 0.8412857142857143, 0.8403035714285715, 0.8409821428571429, 0.8413392857142857, 0.84125, 0.8421428571428572, 0.8431607142857143]","[0.8337142857142857, 0.8335, 0.8337857142857142, 0.8332857142857143, 0.835, 0.8355714285714285, 0.8336428571428571, 0.8320714285714286, 0.8342857142857143, 0.8336428571428571, 0.8362142857142857, 0.8339285714285715, 0.8322142857142857, 0.8327142857142857, 0.832, 0.8337857142857142, 0.8349285714285715, 0.834, 0.8337857142857142, 0.8362142857142857]",2026-05-06T22:13:56.198830
fashion_mnist,Activation Finetuning (Per-Neuron),20,0.8418473214285715,0.0011506774152779049,0.8346214285714286,0.00130913197601016,29.110130286216737,30.0,"[0.8413214285714286, 0.842625, 0.840875, 0.8406428571428571, 0.8432678571428571, 0.8427857142857142, 0.8405714285714285, 0.8403214285714286, 0.8429285714285715, 0.841875, 0.844125, 0.8404642857142857, 0.8404107142857142, 0.8417142857142857, 0.8407678571428572, 0.8417321428571428, 0.8419464285714285, 0.8420357142857143, 0.8426607142857143, 0.843875]","[0.834, 0.8353571428571429, 0.8325714285714285, 0.8340714285714286, 0.836, 0.8357142857142857, 0.8342857142857143, 0.8329285714285715, 0.835, 0.8345714285714285, 0.8373571428571429, 0.8346428571428571, 0.8331428571428572, 0.8343571428571429, 0.8322142857142857, 0.8355, 0.834, 0.8351428571428572, 0.8345714285714285, 0.837]",2026-05-06T22:13:56.198868
mnist,Baseline (Sigmoid),20,0.9195116071428572,0.0006689466619092872,0.9128250000000001,0.0009229154669760815,26.554424393177033,30.0,"[0.9193392857142857, 0.9188214285714286, 0.9194642857142857, 0.9205714285714286, 0.9195178571428572, 0.9203928571428571, 0.9194642857142857, 0.9195357142857142, 0.9194107142857143, 0.9196785714285715, 0.9191964285714286, 0.9179821428571429, 0.9198035714285714, 0.918625, 0.919125, 0.9195535714285714, 0.9206964285714285, 0.9191071428571429, 0.9206964285714285, 0.91925]","[0.9127142857142857, 0.9127857142857143, 0.9131428571428571, 0.9144285714285715, 0.9125, 0.9132142857142858, 0.9125714285714286, 0.9120714285714285, 0.9124285714285715, 0.9128571428571428, 0.913, 0.911, 0.9131428571428571, 0.9131428571428571, 0.9122142857142858, 0.9137857142857143, 0.9148571428571428, 0.9124285714285715, 0.9133571428571429, 0.9108571428571428]",2026-05-06T22:13:56.198906
mnist,Activation Finetuning (Per-Neuron),20,0.9199142857142857,0.0006936436993389853,0.9130821428571428,0.0010172679999260147,30.055340123176574,30.0,"[0.9196071428571428, 0.9189642857142857, 0.920125, 0.9207857142857143, 0.9202142857142858, 0.9208392857142857, 0.9195892857142857, 0.9197321428571429, 0.9200357142857143, 0.9203928571428571, 0.9198214285714286, 0.9185535714285714, 0.9204107142857143, 0.9191785714285714, 0.9190357142857143, 0.919875, 0.9210535714285715, 0.9193571428571429, 0.9210892857142857, 0.919625]","[0.9124285714285715, 0.9132142857142858, 0.9137142857142857, 0.915, 0.9130714285714285, 0.9135714285714286, 0.9124285714285715, 0.9116428571428571, 0.9125, 0.9134285714285715, 0.9127857142857143, 0.9117857142857143, 0.914, 0.9139285714285714, 0.9124285714285715, 0.9140714285714285, 0.9147857142857143, 0.9128571428571428, 0.9132142857142858, 0.9107857142857143]",2026-05-06T22:13:56.198943
