dataset,model_name,n_seeds,train_acc_mean,train_acc_std,test_acc_mean,test_acc_std,time_mean_seconds,epochs_mean,train_accs,test_accs,timestamp,paired_ttest_pval,paired_ttest_significant,wilcoxon_pval,wilcoxon_significant,cohens_d,mean_diff
mnist,Baseline (ReLU),20,0.9896044642857144,0.00043960046070384,0.963892857142857,0.0006430555249457589,15.05495980978012,30.0,"[0.9890892857142857, 0.9906071428571429, 0.9895714285714285, 0.9889821428571428, 0.9899285714285714, 0.9896785714285714, 0.9893035714285714, 0.9897142857142858, 0.9889642857142857, 0.9897678571428571, 0.9897142857142858, 0.9891428571428571, 0.9894642857142857, 0.9892678571428571, 0.9900892857142857, 0.9897857142857143, 0.9894107142857143, 0.99025, 0.9901607142857143, 0.9891964285714285]","[0.9629285714285715, 0.9635, 0.9641428571428572, 0.9651428571428572, 0.9642142857142857, 0.964, 0.9640714285714286, 0.9646428571428571, 0.9638571428571429, 0.9630714285714286, 0.9647142857142857, 0.9637857142857142, 0.9635714285714285, 0.9648571428571429, 0.9630714285714286, 0.9632857142857143, 0.9631428571428572, 0.9632142857142857, 0.9644285714285714, 0.9642142857142857]",2026-05-06T23:11:45.210085,,,,,,
mnist,a*ReLU + b*Sigmoid Finetuning (Per-Neuron),20,0.98135,0.0004102248636729849,0.9592750000000001,0.0009695030812172783,30.08006430864334,30.0,"[0.9808571428571429, 0.9816607142857143, 0.9808571428571429, 0.9805357142857143, 0.9821785714285715, 0.981375, 0.9815892857142857, 0.981125, 0.9810535714285714, 0.9812678571428571, 0.98175, 0.9810357142857142, 0.9810357142857142, 0.981375, 0.9820714285714286, 0.9816428571428572, 0.9811428571428571, 0.9817321428571428, 0.9815535714285715, 0.9811607142857143]","[0.9583571428571429, 0.9592857142857143, 0.9595, 0.9610714285714286, 0.9595714285714285, 0.9592142857142857, 0.9595714285714285, 0.9605, 0.9575714285714285, 0.9591428571428572, 0.9602142857142857, 0.96, 0.9598571428571429, 0.9604285714285714, 0.9586428571428571, 0.9572857142857143, 0.9585714285714285, 0.9578571428571429, 0.9596428571428571, 0.9592142857142857]",2026-05-06T23:11:45.210260,7.718472586002155e-18,True,8.807368035275506e-05,True,-5.471357865839218,-0.004617857142857157
fashion_mnist,Baseline (ReLU),20,0.932425892857143,0.0012361899760505173,0.8845035714285714,0.0020353351777322275,15.049087691307069,30.0,"[0.9314821428571428, 0.9343392857142857, 0.9334642857142857, 0.9337142857142857, 0.9326607142857143, 0.9320357142857143, 0.9319821428571429, 0.9329821428571429, 0.93275, 0.930375, 0.9341785714285714, 0.9315714285714286, 0.9299642857142857, 0.931375, 0.9311785714285714, 0.9335357142857142, 0.9319821428571429, 0.9333035714285715, 0.9340892857142857, 0.9315535714285714]","[0.8875714285714286, 0.8848571428571429, 0.8868571428571429, 0.8858571428571429, 0.8839285714285714, 0.8821428571428571, 0.8833571428571428, 0.8837142857142857, 0.8873571428571428, 0.8863571428571428, 0.8814285714285715, 0.8851428571428571, 0.8827857142857143, 0.8849285714285714, 0.8832142857142857, 0.8871428571428571, 0.8845, 0.8854285714285715, 0.8838571428571429, 0.8796428571428572]",2026-05-06T23:11:45.210983,,,,,,
fashion_mnist,a*ReLU + b*Sigmoid Finetuning (Per-Neuron),20,0.9193374999999999,0.0012683713745892976,0.8813678571428571,0.0018703206916985983,29.928233921527863,30.0,"[0.9171607142857143, 0.9202678571428572, 0.9220714285714285, 0.9191071428571429, 0.9201785714285714, 0.9187857142857143, 0.91875, 0.9206607142857143, 0.9191428571428572, 0.9196964285714285, 0.9211071428571429, 0.9185178571428572, 0.9168392857142857, 0.9184821428571428, 0.9176964285714285, 0.919125, 0.9190714285714285, 0.9193392857142857, 0.9205, 0.92025]","[0.883, 0.8802857142857143, 0.8817142857142857, 0.8807142857142857, 0.883, 0.8804285714285714, 0.8803571428571428, 0.883, 0.8827857142857143, 0.8837857142857143, 0.8804285714285714, 0.8813571428571428, 0.8777142857142857, 0.8805, 0.8787857142857143, 0.8851428571428571, 0.8818571428571429, 0.8826428571428572, 0.882, 0.8778571428571429]",2026-05-06T23:11:45.211032,2.1167911879172183e-08,True,8.782404130245518e-05,True,-1.5636769343379577,-0.003135714285714286
cifar10,Baseline (ReLU),20,0.7566531249999999,0.010262311108949825,0.5155000000000001,0.0038149923547323933,32.033018958568576,21.6,"[0.75025, 0.7530208333333334, 0.7642708333333333, 0.7452291666666667, 0.7436666666666667, 0.7647916666666666, 0.7617083333333333, 0.7533333333333333, 0.7598541666666667, 0.7580208333333334, 0.7665625, 0.7736041666666666, 0.7690625, 0.7571666666666667, 0.7532916666666667, 0.7522916666666667, 0.7699166666666667, 0.73575, 0.7378958333333333, 0.763375]","[0.514, 0.5055833333333334, 0.51275, 0.51225, 0.5148333333333334, 0.515, 0.5144166666666666, 0.51525, 0.5130833333333333, 0.5154166666666666, 0.518, 0.5119166666666667, 0.51825, 0.5201666666666667, 0.5179166666666667, 0.5213333333333333, 0.524, 0.5160833333333333, 0.5160833333333333, 0.5136666666666667]",2026-05-06T23:11:45.211620,,,,,,
cifar10,a*ReLU + b*Sigmoid Finetuning (Per-Neuron),20,0.7237520833333333,0.00794858123040766,0.5213083333333333,0.0036476876236870965,29.866266107559206,18.75,"[0.7222916666666667, 0.7196458333333333, 0.7313125, 0.7157708333333334, 0.7127291666666666, 0.7257291666666666, 0.72525, 0.7234791666666667, 0.7265416666666666, 0.7213333333333334, 0.7290625, 0.7412916666666667, 0.7355625, 0.7214791666666667, 0.7226666666666667, 0.7188125, 0.7317916666666666, 0.7128333333333333, 0.7077291666666666, 0.7297291666666667]","[0.5184166666666666, 0.5161666666666667, 0.5141666666666667, 0.5198333333333334, 0.5171666666666667, 0.5190833333333333, 0.5225833333333333, 0.5250833333333333, 0.5196666666666667, 0.5195833333333333, 0.52175, 0.52825, 0.5253333333333333, 0.523, 0.5258333333333334, 0.5249166666666667, 0.5254166666666666, 0.5226666666666666, 0.5181666666666667, 0.5190833333333333]",2026-05-06T23:11:45.211658,9.876160723241137e-07,True,8.844915021211902e-05,True,1.516838699092839,0.005808333333333327
